Date,daily_Deaths,daily_Confirmed
2020-02-24,,0
2020-02-25,0.0,3
2020-02-26,0.0,0
2020-02-27,0.0,1
2020-02-28,0.0,0
2020-02-29,0.0,0
2020-03-01,0.0,5
2020-03-02,0.0,-2
2020-03-03,0.0,0
2020-03-04,0.0,11
2020-03-05,0.0,0
2020-03-06,0.0,6
2020-03-07,0.0,11
2020-03-08,0.0,18
2020-03-09,0.0,1
2020-03-10,0.0,8
2020-03-11,0.0,21
2020-03-12,2.0,32
2020-03-13,0.0,15
2020-03-14,0.0,26
2020-03-15,0.0,32
2020-03-16,0.0,25
2020-03-17,1.0,24
2020-03-18,0.0,45
2020-03-19,1.0,58
2020-03-20,0.0,68
2020-03-21,2.0,82
2020-03-22,2.0,140
2020-03-23,5.0,91
2020-03-24,7.0,125
2020-03-25,5.0,148
2020-03-26,8.0,170
2020-03-27,6.0,86
2020-03-28,18.0,109
2020-03-29,8.0,101
2020-03-30,11.0,95
2020-03-31,5.0,92
2020-04-01,7.0,71
2020-04-02,5.0,73
2020-04-03,8.0,68
2020-04-04,10.0,73
2020-04-05,5.0,62
2020-04-06,7.0,52
2020-04-07,2.0,51
2020-04-08,8.0,62
2020-04-09,5.0,73
2020-04-10,10.0,70
2020-04-11,6.0,62
2020-04-12,9.0,52
2020-04-13,8.0,42
2020-04-14,4.0,43
2020-04-15,6.0,34
2020-04-16,6.0,44
2020-04-17,3.0,46
2020-04-18,6.0,47
2020-04-19,4.0,45
2020-04-20,3.0,42
2020-04-21,3.0,76
2020-04-22,2.0,48
2020-04-23,5.0,43
2020-04-24,5.0,55
2020-04-25,6.0,39
2020-04-26,4.0,35
2020-04-27,3.0,30
2020-04-28,1.0,35
2020-04-29,0.0,20
2020-04-30,3.0,26
2020-05-01,2.0,28
2020-05-02,3.0,19
2020-05-03,2.0,27
2020-05-04,2.0,15
2020-05-05,3.0,12
2020-05-06,3.0,14
2020-05-07,1.0,7
2020-05-08,2.0,13
2020-05-09,3.0,12
2020-05-10,0.0,14
2020-05-11,1.0,12
2020-05-12,4.0,4
2020-05-13,1.0,11
2020-05-14,1.0,12
2020-05-15,0.0,8
2020-05-16,2.0,8
2020-05-17,2.0,6
2020-05-18,0.0,7
2020-05-19,1.0,8
2020-05-20,0.0,8
2020-05-21,0.0,6
2020-05-22,0.0,4
2020-05-23,1.0,0
2020-05-24,0.0,2
2020-05-25,1.0,4
2020-05-26,1.0,3
2020-05-27,1.0,5
2020-05-28,0.0,3
2020-05-29,0.0,2
2020-05-30,1.0,2
2020-05-31,1.0,1
2020-06-01,0.0,0
2020-06-02,1.0,4
2020-06-03,0.0,0
2020-06-04,1.0,0
2020-06-05,0.0,1
2020-06-06,0.0,2
2020-06-07,1.0,1
2020-06-08,1.0,1
2020-06-09,0.0,2
2020-06-10,0.0,1
2020-06-11,1.0,0
2020-06-12,0.0,0
2020-06-13,0.0,1
2020-06-14,0.0,1
2020-06-15,1.0,1
2020-06-16,0.0,2
2020-06-17,0.0,2
2020-06-18,0.0,2
2020-06-19,0.0,3
2020-06-20,0.0,0
2020-06-21,0.0,2
2020-06-22,0.0,0
2020-06-23,0.0,1
2020-06-24,0.0,1
2020-06-25,0.0,2
2020-06-26,1.0,0
2020-06-27,0.0,1
2020-06-28,0.0,0
2020-06-29,0.0,1
2020-06-30,1.0,2
2020-07-01,0.0,1
2020-07-02,0.0,9
2020-07-03,0.0,1
2020-07-04,0.0,3
2020-07-05,0.0,0
2020-07-06,0.0,1
2020-07-07,0.0,1
2020-07-08,1.0,1
2020-07-09,0.0,1
2020-07-10,0.0,0
2020-07-11,0.0,1
2020-07-12,0.0,0
2020-07-13,0.0,1
2020-07-14,0.0,15
2020-07-15,0.0,0
2020-07-16,0.0,17
2020-07-17,0.0,4
2020-07-18,0.0,4
2020-07-19,0.0,2
2020-07-20,0.0,2
2020-07-21,0.0,2
2020-07-22,0.0,7
2020-07-23,0.0,5
2020-07-24,0.0,8
2020-07-25,0.0,13
2020-07-26,0.0,14
2020-07-27,0.0,3
2020-07-28,0.0,19
2020-07-29,0.0,18
2020-07-30,0.0,39
2020-07-31,0.0,16
2020-08-01,0.0,10
2020-08-02,0.0,7
2020-08-03,0.0,3
2020-08-04,1.0,10
2020-08-05,0.0,21
2020-08-06,0.0,30
2020-08-07,0.0,27
2020-08-08,0.0,28
2020-08-09,0.0,29
2020-08-10,0.0,32
2020-08-11,0.0,89
2020-08-12,0.0,29
2020-08-13,0.0,42
2020-08-14,0.0,36
2020-08-15,0.0,46
2020-08-16,1.0,39
2020-08-17,1.0,14
2020-08-18,0.0,13
2020-08-19,0.0,45
2020-08-20,0.0,37
2020-08-21,0.0,44
2020-08-22,0.0,48
2020-08-23,0.0,35
2020-08-24,0.0,65
2020-08-25,0.0,24
2020-08-26,0.0,33
2020-08-27,0.0,50
2020-08-28,0.0,54
2020-08-29,0.0,29
2020-08-30,0.0,34
2020-08-31,0.0,26
2020-09-01,1.0,33
2020-09-02,0.0,83
2020-09-03,1.0,54
2020-09-04,0.0,78
2020-09-05,1.0,114
2020-09-06,0.0,37
2020-09-07,0.0,49
2020-09-08,0.0,84
2020-09-09,0.0,77
2020-09-10,0.0,106
2020-09-11,0.0,104
2020-09-12,0.0,44
2020-09-13,1.0,61
2020-09-14,2.0,65
2020-09-15,0.0,77
2020-09-16,3.0,90
2020-09-17,0.0,96
2020-09-18,1.0,179
2020-09-19,0.0,98
2020-09-20,0.0,116
2020-09-21,3.0,75
2020-09-22,1.0,108
2020-09-23,3.0,89
2020-09-24,1.0,125
2020-09-25,2.0,107
2020-09-26,0.0,110
2020-09-27,2.0,107
2020-09-28,1.0,102
2020-09-29,1.0,163
2020-09-30,1.0,170
2020-10-01,1.0,156
2020-10-02,2.0,140
2020-10-03,3.0,182
2020-10-04,2.0,85
2020-10-05,2.0,128
2020-10-06,1.0,198
2020-10-07,4.0,213
2020-10-08,3.0,259
2020-10-09,4.0,233
2020-10-10,2.0,285
2020-10-11,1.0,297
2020-10-12,3.0,298
2020-10-13,2.0,334
2020-10-14,2.0,366
2020-10-15,7.0,399
2020-10-16,10.0,578
2020-10-17,2.0,475
2020-10-18,3.0,548
2020-10-19,3.0,362
2020-10-20,10.0,574
2020-10-21,11.0,562
2020-10-22,8.0,796
2020-10-23,11.0,730
2020-10-24,9.0,886
2020-10-25,11.0,695
2020-10-26,11.0,568
2020-10-27,10.0,860
2020-10-28,10.0,708
2020-10-29,13.0,789
2020-10-30,12.0,984
2020-10-31,18.0,952
2020-11-01,16.0,1095
2020-11-02,18.0,1024
2020-11-03,14.0,1048
2020-11-04,19.0,1155
2020-11-05,25.0,1322
2020-11-06,34.0,1423
2020-11-07,35.0,1363
2020-11-08,13.0,1083
2020-11-09,27.0,1023
2020-11-10,32.0,1201
2020-11-11,27.0,1487
2020-11-12,40.0,1692
2020-11-13,35.0,1707
2020-11-14,23.0,1729
2020-11-15,36.0,1422
2020-11-16,36.0,1461
2020-11-17,39.0,1698
2020-11-18,44.0,1837
2020-11-19,40.0,1871
2020-11-20,43.0,1634
2020-11-21,43.0,1838
2020-11-22,45.0,1258
2020-11-23,41.0,1249
2020-11-24,48.0,1306
2020-11-25,47.0,1317
2020-11-26,49.0,1768
2020-11-27,47.0,1566
2020-11-28,43.0,1189
2020-11-29,45.0,1024
2020-11-30,49.0,1138
2020-12-01,34.0,1399
2020-12-02,27.0,1483
2020-12-03,34.0,1294
2020-12-04,39.0,1365
2020-12-05,34.0,1240
2020-12-06,36.0,1022
2020-12-07,34.0,918
2020-12-08,36.0,1148
2020-12-09,34.0,753
2020-12-10,32.0,1059
2020-12-11,28.0,999
2020-12-12,23.0,1016
2020-12-13,21.0,808
2020-12-14,32.0,914
2020-12-15,31.0,1087
2020-12-16,29.0,1065
2020-12-17,28.0,872
2020-12-18,22.0,731
2020-12-19,22.0,878
2020-12-20,24.0,792
2020-12-21,26.0,669
2020-12-22,22.0,894
2020-12-23,10.0,932
2020-12-24,26.0,853
2020-12-25,17.0,720
2020-12-26,27.0,337
2020-12-27,15.0,682
2020-12-28,28.0,650
2020-12-29,26.0,995
2020-12-30,29.0,1084
2020-12-31,31.0,1299
2021-01-01,28.0,1122
2021-01-02,28.0,734
2021-01-03,26.0,1047
2021-01-04,34.0,1391
2021-01-05,36.0,1576
2021-01-06,29.0,1692
2021-01-07,36.0,1435
2021-01-08,35.0,1842
2021-01-09,31.0,1839
2021-01-10,33.0,1733
2021-01-11,37.0,1587
2021-01-12,40.0,1913
2021-01-13,36.0,1969
2021-01-14,36.0,1867
2021-01-15,39.0,1945
2021-01-16,38.0,1954
2021-01-17,35.0,1439
