Date,daily_Deaths,daily_Confirmed
2020-02-24,,0
2020-02-25,0.0,0
2020-02-26,0.0,0
2020-02-27,0.0,0
2020-02-28,0.0,0
2020-02-29,0.0,0
2020-03-01,0.0,0
2020-03-02,0.0,0
2020-03-03,0.0,1
2020-03-04,0.0,1
2020-03-05,0.0,0
2020-03-06,0.0,3
2020-03-07,0.0,0
2020-03-08,0.0,6
2020-03-09,0.0,8
2020-03-10,0.0,1
2020-03-11,0.0,17
2020-03-12,0.0,2
2020-03-13,0.0,4
2020-03-14,0.0,4
2020-03-15,2.0,30
2020-03-16,0.0,30
2020-03-17,0.0,10
2020-03-18,0.0,17
2020-03-19,0.0,72
2020-03-20,0.0,87
2020-03-21,2.0,37
2020-03-22,3.0,9
2020-03-23,4.0,20
2020-03-24,4.0,62
2020-03-25,3.0,21
2020-03-26,1.0,52
2020-03-27,2.0,36
2020-03-28,5.0,94
2020-03-29,1.0,14
2020-03-30,1.0,44
2020-03-31,3.0,40
2020-04-01,3.0,23
2020-04-02,6.0,49
2020-04-03,1.0,31
2020-04-04,0.0,49
2020-04-05,2.0,33
2020-04-06,4.0,15
2020-04-07,5.0,13
2020-04-08,7.0,40
2020-04-09,5.0,51
2020-04-10,5.0,37
2020-04-11,4.0,28
2020-04-12,0.0,22
2020-04-13,2.0,15
2020-04-14,5.0,10
2020-04-15,3.0,23
2020-04-16,2.0,3
2020-04-17,1.0,14
2020-04-18,0.0,20
2020-04-19,0.0,17
2020-04-20,0.0,13
2020-04-21,7.0,8
2020-04-22,3.0,11
2020-04-23,2.0,7
2020-04-24,4.0,3
2020-04-25,1.0,14
2020-04-26,6.0,9
2020-04-27,0.0,3
2020-04-28,0.0,2
2020-04-29,7.0,5
2020-04-30,0.0,5
2020-05-01,1.0,18
2020-05-02,2.0,2
2020-05-03,0.0,4
2020-05-04,0.0,-2
2020-05-05,0.0,1
2020-05-06,0.0,1
2020-05-07,0.0,5
2020-05-08,0.0,6
2020-05-09,0.0,4
2020-05-10,1.0,6
2020-05-11,0.0,3
2020-05-12,0.0,1
2020-05-13,0.0,1
2020-05-14,5.0,0
2020-05-15,0.0,3
2020-05-16,0.0,4
2020-05-17,0.0,1
2020-05-18,1.0,0
2020-05-19,0.0,1
2020-05-20,0.0,1
2020-05-21,1.0,1
2020-05-22,1.0,0
2020-05-23,1.0,0
2020-05-24,0.0,0
2020-05-25,0.0,-2
2020-05-26,1.0,0
2020-05-27,0.0,1
2020-05-28,0.0,0
2020-05-29,0.0,1
2020-05-30,0.0,0
2020-05-31,0.0,0
2020-06-01,1.0,1
2020-06-02,0.0,0
2020-06-03,0.0,0
2020-06-04,0.0,0
2020-06-05,0.0,2
2020-06-06,0.0,3
2020-06-07,0.0,0
2020-06-08,0.0,0
2020-06-09,0.0,-1
2020-06-10,0.0,0
2020-06-11,0.0,1
2020-06-12,0.0,1
2020-06-13,1.0,0
2020-06-14,0.0,0
2020-06-15,0.0,0
2020-06-16,0.0,2
2020-06-17,0.0,1
2020-06-18,0.0,1
2020-06-19,0.0,1
2020-06-20,0.0,1
2020-06-21,0.0,0
2020-06-22,0.0,0
2020-06-23,0.0,0
2020-06-24,0.0,1
2020-06-25,0.0,1
2020-06-26,0.0,0
2020-06-27,0.0,1
2020-06-28,0.0,1
2020-06-29,0.0,0
